Septha Arya,8123116825,Sumatera Barat 1 Oktober 1996,2017,1.25
Apta Mahapraja,6073668447,Riau 27 Januari 2003,2016,3.19
Agnibrata Karno,8973093470,Maluku 13 Agustus 2003,2016,2.55
Gadhing Kusuma,8790573255,Jawa Tengah 29 Maret 1998,2017,3.24
Gunawan Aswangga,4005873899,Sumatera Barat 28 Maret 2002,2019,1.18
Aditya Numatya,9227158371,Jawa Timur 25 Juli 2004,2019,2.42
Sucipto Hartadi,9717689061,Sumatera Barat 28 Januari 1997,2016,1.39
Fajar Apta,9685405177,Jambi 12 Juli 1997,2016,2.95
Rama Ulung,9423670231,Banten 9 Agustus 2002,2019,3.87
Endaru Yoda,7230876870,Jawa Tengah 19 April 2001,2017,3.34
Lakeswara Kaesang,8916031253,Jawa Timur 15 Desember 2000,2016,1.89
Sobiyanto Wardana,5043367033,Sumatera Barat 29 Oktober 1998,2017,2.75
Padmana Ismoyono,4823763382,Sumatera Utara 11 November 1997,2016,1.64
Danurdara Manikmaya,1727729875,Jawa Timur 12 Desember 1997,2015,2.30
Wirya Wicaksana,649085274,Papua 28 Mei 1999,2016,3.66
Kukuh Yoda,4372708331,Jawa Tengah 18 Juli 2003,2018,2.2
Rahardian Aji,5880663327,Jawa Tengah 15 Desember 2001,2019,2.2
Arjuna Aswangga,8458254591,Sulawesi Tenggara 7 November 2002,2015,2.49
Manggala Fajar,5335087960,Sumatera Utara 3 Februari 2003,2016,1.79
Hasta Abhicandra,7826161040,Banten 26 Oktober 2001,2017,2.53
Adiguna Abiyasa,7623218395,Kepulauan Riau 18 Juli 1997,2019,1.94
Abiyasa Prastowo,4884807555,Kepulauan Riau 15 Juni 2002,2019,3.65
Gilang Leksana,3407142160,Gorontalo 9 Februari 1997,2018,2.97
Kusna Kukuh,2597399712,Banten 3 Maret 1998,2015,3.21
Surya Barata,4044581419,Aceh 17 November 2000,2015,2.63
Sasmaka Kawidagda,5312796390,Jawa Barat 15 Desember 2004,2018,2.12
Madhani Cahaya,6502079984,Kepulauan Riau 18 Februari 2000,2015,1.76
Guntur Raharja,2021902967,Sulawesi Utara 14 April 1996,2019,3.22
Muhadir Mahajana,4144000102,Kalimantan Timur 24 Maret 2001,2015,2.56
Indradewa Fajar,3335325414,Jawa Timur 25 Maret 1997,2017,3.43
Rahagi Wibowo,4424466140,Jawa Tengah 24 Desember 1997,2015,1.74
Kawidagda Mahadana,1460724890,Jawa Tengah 5 Februari 1997,2018,1.87
Brawijaya Sasmaka,2015719132,Kepulauan Riau 2 Januari 1999,2018,3.94
Rakabuming Raditya,238874028,Gorontalo 3 Februari 2000,2015,1.24
Hasta Hartadi,3184910695,Sumatera Selatan 4 September 1998,2017,2.47
Bisma Rakabuming,2832680716,Bangka 24 Desember 2003,2014,3.23
Pradipta Sasmaka,6082418503,Sulawesi Tengah 13 Januari 2004,2015,3.90
Wicaksana Tulus,606207734,Kalimantan Timur 14 Oktober 2002,2016,1.30
Pradana Aswangga,6322424980,Jawa Barat 7 Mei 2002,2018,1.80
Pranadibta Handaru,8210190507,Jawa Barat 1 Mei 2003,2018,3.26
Pinot Haris,5946181070,Kepulauan Riau 14 November 2000,2017,2.79
Prastowo Yudayana,2283125353,Gorontalo 16 Maret 2000,2019,3.92
Pranadipa Pranama,7101288295,Kalimantan Timur 8 April 2000,2019,3.86
Padmana Cakrawala,5421274640,Jawa Barat 20 Januari 1998,2017,1.77
Mahadri Pranadipa,1727632624,Jakarta 23 Maret 2000,2014,2.80
Wajendra Tophati,3413002548,Sulawesi Utara 26 Mei 2000,2019,1.42
Jaya Barata,2680789581,Sulawesi Selatan 18 Januari 2002,2016,1.44
Indradewa Respati,4806719052,Sumatera Barat 24 Desember 2004,2016,2.34
Rama Kaesang,6047792484,Kalimantan Barat 30 Oktober 2003,2019,2.86
Rakabuming Parikesit,7527831468,Aceh 23 Maret 2002,2014,2.55
Gadhing Wardana,9492244350,Jakarta 19 Januari 2004,2019,2.9
Asmaralaya Lintang,4481271133,Papua 13 Agustus 2000,2014,2.88
Endaru Ubhaya,5825365103,Jawa Timur 18 Oktober 2001,2014,3.83
Cokroaminoto Yoga,5479436436,Jawa Tengah 22 Mei 2002,2017,1.68
Jatmika Kawindra,6799304982,Jawa Tengah 6 Mei 2002,2017,2.24
Saputra Saputra,5854739274,Jawa Timur 1 Mei 1996,2017,3.66
Handaru Prasaja,8336629671,Sumatera Utara 24 Oktober 1997,2014,3.72
Jarot Bimo,8353637581,Nusa Tenggara Barat 3 April 1997,2017,2.15
Brahma Gilang,2530113775,Jawa Barat 7 April 1998,2014,2.96
Manggala Syaron,7225184407,Bangka 19 Juni 2001,2017,1.68
Pranadipa Sadana,4748241366,Banten 23 Oktober 2004,2016,3.49
Septha Kusuma,3267073587,Sulawesi Utara 13 April 1998,2017,2.22
Pramono Gadhing,1728499713,Jakarta 14 Juli 1997,2017,1.2
Pranawa Haris,8915483306,Jawa Barat 26 Agustus 1997,2019,2.95
Haris Abiyasa,607526138,Bali 30 Agustus 2000,2019,1.51
Lintang Fajar,2765823307,Riau 3 Mei 1999,2019,1.77
Andaru Prastowo,551313996,Jakarta 7 April 1996,2016,1.35
Gilang Baskara,6458337812,Lampung 18 September 1996,2019,2.3
Danurdara Pramatya,4853848657,Sumatera Barat 4 Januari 2002,2014,1.33
Brawijaya Sasmaka,2421767423,Sumatera Selatan 1 Februari 1999,2016,2.26
Mahaeswara Bhanu,5497399030,Jakarta 7 Mei 2001,2019,2.2
Gilang Manggala,4940025172,Banten 16 Januari 1998,2014,2.64
Prasetyo Madya,8404773035,Sumatera Utara 14 Oktober 1999,2015,3.10
Gentala Respati,2492425317,Kalimantan Selatan 18 Desember 2003,2016,2.48
Pinot Daniswara,626751808,Sumatera Barat 14 November 2000,2015,2.54
Luhung Adinata,2408306173,Jambi 1 Desember 1997,2017,3.5
Adiwangsa Tophati,2775456341,Jawa Tengah 17 Juli 1996,2014,2.86
Jaya Fajar,291772902,Jawa Timur 6 Januari 2004,2014,2.11
Pramatya Bhagawanta,4474306985,Kalimantan Barat 20 Oktober 1997,2016,1.99
Prasaja Sambara,9503253240,Jawa Timur 5 Maret 2004,2016,2.86
